Country,MetricYear,Value,Organism,Drug
Slovakia,N_2012,375.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Iceland,%R_2012,0.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Denmark,%R_2012,3.1,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Finland,%R_2012,0.2,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Sweden,%R_2012,1.4,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Norway,%R_2012,1.5,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Netherlands,%R_2012,2.7,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Germany,%R_2012,6.2,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Austria,%R_2012,4.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
United Kingdom,%R_2012,2.3,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Ireland,%R_2012,3.4,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Belgium,%R_2012,8.5,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Spain,%R_2012,8.9,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Luxembourg,%R_2012,20.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Malta,%R_2012,19.3,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovenia,%R_2012,17.3,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Cyprus,%R_2012,9.2,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Estonia,%R_2012,10.5,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
France,%R_2012,19.2,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Portugal,%R_2012,25.1,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Bulgaria,%R_2012,36.5,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Italy,%R_2012,33.9,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Hungary,%R_2012,37.9,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Croatia,%R_2012,30.8,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Latvia,%R_2012,42.3,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Lithuania,%R_2012,52.2,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Czech Republic,%R_2012,41.8,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Greece,%R_2012,57.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Poland,%R_2012,50.3,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovakia,%R_2012,55.5,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Iceland,N_2013,28.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Denmark,N_2013,519.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Finland,N_2013,514.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Sweden,N_2013,1235.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Norway,N_2013,616.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Netherlands,N_2013,630.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Germany,N_2013,753.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Austria,N_2013,837.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
United Kingdom,N_2013,1070.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Ireland,N_2013,316.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Belgium,N_2013,464.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Spain,N_2013,1241.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Luxembourg,N_2013,53.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Malta,N_2013,69.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovenia,N_2013,245.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Cyprus,N_2013,68.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Estonia,N_2013,87.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
France,N_2013,1916.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Portugal,N_2013,909.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Bulgaria,N_2013,132.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Italy,N_2013,1360.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Hungary,N_2013,549.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Croatia,N_2013,367.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Latvia,N_2013,88.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Lithuania,N_2013,144.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Czech Republic,N_2013,1291.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Greece,N_2013,1164.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Poland,N_2013,350.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovakia,N_2013,486.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Iceland,%R_2013,0.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Denmark,%R_2013,3.5,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Finland,%R_2013,0.4,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Sweden,%R_2013,1.7,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Norway,%R_2013,1.8,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Netherlands,%R_2013,2.2,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Germany,%R_2013,7.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Austria,%R_2013,3.6,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
United Kingdom,%R_2013,4.8,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Ireland,%R_2013,7.9,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Belgium,%R_2013,8.2,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Spain,%R_2013,11.2,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Luxembourg,%R_2013,17.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Malta,%R_2013,20.3,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovenia,%R_2013,15.9,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Cyprus,%R_2013,5.9,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Estonia,%R_2013,9.2,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
France,%R_2013,22.9,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Portugal,%R_2013,21.7,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Bulgaria,%R_2013,35.6,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Italy,%R_2013,29.6,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Hungary,%R_2013,32.2,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Croatia,%R_2013,30.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Latvia,%R_2013,39.8,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Lithuania,%R_2013,33.3,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Czech Republic,%R_2013,38.3,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Greece,%R_2013,51.5,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Poland,%R_2013,54.3,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovakia,%R_2013,57.8,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Iceland,N_2014,28.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Denmark,N_2014,925.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Finland,N_2014,556.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Sweden,N_2014,623.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Norway,N_2014,744.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Netherlands,N_2014,865.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Germany,N_2014,979.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Austria,N_2014,900.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
United Kingdom,N_2014,975.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Ireland,N_2014,353.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Belgium,N_2014,341.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Spain,N_2014,1263.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Luxembourg,N_2014,66.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Malta,N_2014,101.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovenia,N_2014,233.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Cyprus,N_2014,80.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Estonia,N_2014,131.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
France,N_2014,2172.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Portugal,N_2014,1705.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Bulgaria,N_2014,143.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Italy,N_2014,1164.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Hungary,N_2014,636.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Croatia,N_2014,330.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Latvia,N_2014,104.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Lithuania,N_2014,152.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Czech Republic,N_2014,1382.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Greece,N_2014,1061.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Poland,N_2014,443.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovakia,N_2014,493.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Iceland,%R_2014,0.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Denmark,%R_2014,3.1,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Finland,%R_2014,1.4,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Sweden,%R_2014,1.4,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Norway,%R_2014,3.9,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Netherlands,%R_2014,2.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Germany,%R_2014,5.3,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Austria,%R_2014,3.2,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
United Kingdom,%R_2014,3.1,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Ireland,%R_2014,7.4,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Belgium,%R_2014,7.9,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Spain,%R_2014,10.1,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Luxembourg,%R_2014,16.7,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Malta,%R_2014,26.7,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovenia,%R_2014,18.9,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Cyprus,%R_2014,15.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Estonia,%R_2014,11.5,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
France,%R_2014,23.7,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Portugal,%R_2014,22.8,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Bulgaria,%R_2014,44.1,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Italy,%R_2014,32.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Hungary,%R_2014,28.6,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Croatia,%R_2014,30.6,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Latvia,%R_2014,41.3,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Lithuania,%R_2014,35.5,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Czech Republic,%R_2014,38.7,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Greece,%R_2014,55.1,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Poland,%R_2014,54.6,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovakia,%R_2014,63.3,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Iceland,N_2015,35.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Denmark,N_2015,924.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Finland,N_2015,623.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Sweden,N_2015,860.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Norway,N_2015,699.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Netherlands,N_2015,908.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Germany,N_2015,1515.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Austria,N_2015,936.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
United Kingdom,N_2015,906.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Ireland,N_2015,387.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Belgium,N_2015,353.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Spain,N_2015,1488.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Luxembourg,N_2015,60.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Malta,N_2015,92.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovenia,N_2015,237.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Cyprus,N_2015,62.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Estonia,N_2015,36.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
France,N_2015,2324.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Portugal,N_2015,2084.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Bulgaria,N_2015,84.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Italy,N_2015,1940.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Hungary,N_2015,698.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Croatia,N_2015,380.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Latvia,N_2015,112.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Lithuania,N_2015,178.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Czech Republic,N_2015,1416.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Greece,N_2015,1160.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Poland,N_2015,645.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovakia,N_2015,468.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Iceland,%R_2015,0.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Denmark,%R_2015,1.1,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Finland,%R_2015,1.1,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Sweden,%R_2015,1.9,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Norway,%R_2015,2.3,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Netherlands,%R_2015,3.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Germany,%R_2015,3.1,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Austria,%R_2015,3.3,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
United Kingdom,%R_2015,4.2,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Ireland,%R_2015,7.2,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Belgium,%R_2015,9.3,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Spain,%R_2015,11.7,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Luxembourg,%R_2015,13.3,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Malta,%R_2015,15.2,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovenia,%R_2015,16.9,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Cyprus,%R_2015,17.7,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Estonia,%R_2015,22.2,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
France,%R_2015,22.5,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Portugal,%R_2015,25.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Bulgaria,%R_2015,28.6,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Italy,%R_2015,29.7,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Hungary,%R_2015,30.2,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Croatia,%R_2015,32.4,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Latvia,%R_2015,36.6,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Lithuania,%R_2015,39.9,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Czech Republic,%R_2015,41.5,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Greece,%R_2015,46.7,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Poland,%R_2015,54.0,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovakia,%R_2015,59.6,Klebsiella pneumoniae,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Iceland,N_2012,10.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Luxembourg,N_2012,31.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Denmark,N_2012,389.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Cyprus,N_2012,50.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Norway,N_2012,198.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Sweden,N_2012,271.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Estonia,N_2012,31.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Netherlands,N_2012,386.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Finland,N_2012,314.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Belgium,N_2012,342.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Spain,N_2012,835.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Ireland,N_2012,216.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Slovenia,N_2012,134.0,Pseudomonas aeruginosa,piperacillin+tazobactam
United Kingdom,N_2012,636.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Austria,N_2012,588.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Malta,N_2012,31.0,Pseudomonas aeruginosa,piperacillin+tazobactam
France,N_2012,1627.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Germany,N_2012,432.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Greece,N_2012,849.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Latvia,N_2012,17.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Croatia,N_2012,194.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Portugal,N_2012,586.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Czech Republic,N_2012,489.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Hungary,N_2012,610.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Bulgaria,N_2012,50.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Lithuania,N_2012,28.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Italy,N_2012,541.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Poland,N_2012,160.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Slovakia,N_2012,195.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Iceland,%R_2012,10.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Luxembourg,%R_2012,16.1,Pseudomonas aeruginosa,piperacillin+tazobactam
Denmark,%R_2012,4.6,Pseudomonas aeruginosa,piperacillin+tazobactam
Cyprus,%R_2012,10.0,Pseudomonas aeruginosa,piperacillin+tazobactam
Norway,%R_2012,7.1,Pseudomonas aeruginosa,piperacillin+tazobactam
Sweden,%R_2012,5.9,Pseudomonas aeruginosa,piperacillin+tazobactam
Estonia,%R_2012,16.1,Pseudomonas aeruginosa,piperacillin+tazobactam
Netherlands,%R_2012,5.2,Pseudomonas aeruginosa,piperacillin+tazobactam
Finland,%R_2012,7.6,Pseudomonas aeruginosa,piperacillin+tazobactam
Belgium,%R_2012,9.6,Pseudomonas aeruginosa,piperacillin+tazobactam
Spain,%R_2012,6.7,Pseudomonas aeruginosa,piperacillin+tazobactam
Ireland,%R_2012,16.2,Pseudomonas aeruginosa,piperacillin+tazobactam
Slovenia,%R_2012,7.5,Pseudomonas aeruginosa,piperacillin+tazobactam
United Kingdom,%R_2012,3.1,Pseudomonas aeruginosa,piperacillin+tazobactam
Austria,%R_2012,18.2,Pseudomonas aeruginosa,piperacillin+tazobactam
Malta,%R_2012,9.7,Pseudomonas aeruginosa,piperacillin+tazobactam
France,%R_2012,19.9,Pseudomonas aeruginosa,piperacillin+tazobactam
Germany,%R_2012,15.5,Pseudomonas aeruginosa,piperacillin+tazobactam
Greece,%R_2012,34.3,Pseudomonas aeruginosa,piperacillin+tazobactam
Latvia,%R_2012,17.6,Pseudomonas aeruginosa,piperacillin+tazobactam
Croatia,%R_2012,24.2,Pseudomonas aeruginosa,piperacillin+tazobactam
Portugal,%R_2012,19.8,Pseudomonas aeruginosa,piperacillin+tazobactam
Czech Republic,%R_2012,26.4,Pseudomonas aeruginosa,piperacillin+tazobactam
Hungary,%R_2012,19.2,Pseudomonas aeruginosa,piperacillin+tazobactam
Bulgaria,%R_2012,26.0,Pseudomonas aeruginosa,piperacillin+tazobactam
